"id","file","url","status","size_bytes","sha256"
"P01","P01_guo_2024_llm_multi_agents_survey.pdf","https://arxiv.org/pdf/2402.01680","downloaded","1243493","D3410856F2B8629AB7365AF3BD62FE8291B1A595EC954F1FEB859A2688C7179C"
"P02","P02_slms_future_agentic_ai_2025.pdf","https://arxiv.org/pdf/2506.02153","downloaded","332316","EE2DBE19D09A857B94AEB3EA8C7E35516178BF6EB290CAA5461FF19ADA517083"
"P03","P03_llm_slm_collaboration_survey_2025.pdf","https://arxiv.org/pdf/2505.07460","downloaded","1924151","462D24D8CBDAE28C48027A9C046BD9AF21E50EA6BB30FFA45EDFC9C65C191892"
"P04","P04_marco_2024.pdf","https://arxiv.org/pdf/2410.21784","downloaded","1377492","FDF2769B72897406BC2C69D406A0F7454505D5C159CE2AB9DD4CF5628C8F1A5D"
"P05","P05_fellowship_llms_2024.pdf","https://arxiv.org/pdf/2408.08688","downloaded","576849","B4C8E5DCA1A67955419A73C4BF49E131039E4FD6C4E2022E1E64AA1FCAAAB920"
"P06","P06_scaling_small_agents_strategy_auctions_2026.pdf","https://arxiv.org/pdf/2602.02751","downloaded","2621735","A916DC311C4F99AF285D3A7AA23FF2D4994D4D09F25D9C1A984248F407530D0A"
"P07","P07_rethinking_value_multi_agent_workflow_2026.pdf","https://arxiv.org/pdf/2601.12307","downloaded","833827","2DB56BB8470509962591F3A2FD077E074DE5108B812D229F9B7F727EBA1BBF23"
"P08","P08_rethinking_scale_slm_agent_paradigms_2026.pdf","https://arxiv.org/pdf/2604.19299","downloaded","3273290","6BD9E14C596901CB397F3E8F18FFA8B84E06DEBACA7E678C9B4140580CB09445"
"P09","P09_auto_slurp_2025.pdf","https://aclanthology.org/2025.findings-emnlp.596.pdf","downloaded","149533","59B3821A7FEDA93F4DA7441997FCC322BC0219EBD97D015AD91FE6BD328ED69E"
"P10","P10_riskagent_2025.pdf","https://arxiv.org/pdf/2503.03802","downloaded","1161267","6016358CEDC9AD340A42C48E691F0D469BAAE438A4175A884C2752828E3407F9"
"P11","P11_llmsr_xllm_2025.pdf","https://aclanthology.org/2025.xllm-1.23.pdf","downloaded","459133","A2E005AB933605CE0F8260278BC32148C2C493E4BD0782A357A40300B7121632"
"P12","P12_can_small_agents_collaborate_2026.pdf","https://arxiv.org/pdf/2601.11327","downloaded","1771319","CA1CBF44B9FCD2739DBF8316708A5E9A22236AF52E422E28A1F6BD3492E2A326"
"P13","P13_llm_mas_applications_survey_2024.pdf","https://arxiv.org/pdf/2412.17481","downloaded","404537","49D10613E28713573CEF0DA266F93BEC222E550A0C4724001AC771778462FFB0"
"P14","P14_planner_matters_2026.pdf","https://arxiv.org/pdf/2605.02168","downloaded","1885342","762968CFC6FD7DB402AA042B6D380266F09966FC899899EE077FB991CEE5CFE6"
"P15","P15_merit_multi_agent_time_series_2025.pdf","https://aclanthology.org/2025.findings-acl.1231.pdf","downloaded","1294256","1978997695D58E2C2B096380B69505B65705EFBA5EAFA366559AF6F79DF00C16"
"P16","P16_beyond_monolithic_agentic_search_2026.pdf","https://arxiv.org/pdf/2601.04703","downloaded","6648176","7E066C7E72AC12E0315D438AA996256FC745D731D47C908C43B7862386045E17"
"P17","P17_multi_agent_collaboration_entropy_2026.pdf","https://arxiv.org/pdf/2602.04234","downloaded","21907186","6FFB9FBDF185CE16290C2EC70FAD047433DFA2838BFBAE097E814B1118D3F6D7"
"P18","P18_consensus_multi_agent_2025.pdf","https://aclanthology.org/2025.emnlp-industry.144.pdf","downloaded","2449776","6900ADAEE52336AA1946EE125537DBDCC4C75CD67F0F8CBF1913C539085272A6"
"P19","P19_orchestrator_clinical_support_2025.pdf","https://arxiv.org/pdf/2512.04207","downloaded","1046773","E2E665D2DF6969C8E8AF72ECB33DF8265F53C6737EE2E73C32E2F3FCF7D7532E"
"P20","P20_agentleak_2026.pdf","https://arxiv.org/pdf/2602.11510","downloaded","1269663","C62B8FB428AA11795E6A9F3711F73660291312559D862923796DC7D7668CBDAC"
"P21","P21_consensagent_2025.pdf","https://aclanthology.org/2025.findings-acl.1141.pdf","downloaded","895870","39DA287E3CC556DB33E420ADF8E9EAC2382E79815D8707BF246DB9B99731FA75"
"P22","P22_maporl2_2025.pdf","https://aclanthology.org/2025.acl-long.1459.pdf","downloaded","1785432","9BF7CFB1A192ACB35C4C6468C785E7CDFB9B9F4993C4B30FB7A727C455217BD5"
"P23","P23_score_student_centered_distillation_2025.pdf","https://arxiv.org/pdf/2509.14257","downloaded","1549923","E77D8F328A2030A1FA1EDFA714325A2DE9042203ECC4CF2BA4625831BCEB8F25"
"P24","P24_mad_opd_2026.pdf","https://arxiv.org/pdf/2605.01347","downloaded","1619401","659E8625E1D6FFD33B36E490CD7E0CB2E828EF0DF231BE0788E460BEA08B4971"
"P25","P25_chain_of_agents_2025.pdf","https://arxiv.org/pdf/2508.13167","downloaded","5917223","655BB3B6EEC659BFDBE673CDFF068A1AE983CCA96AC3907009F6234C91CE52C9"
"P26","P26_agentdistill_2025.pdf","https://arxiv.org/pdf/2506.14728","downloaded","1472915","F6E6E9B23097039243C6B9B3706705325EBCA3B870AB5FA85DF773B0D8CA9EC4"
"P27","P27_distilling_llm_agent_small_models_2025.pdf","https://arxiv.org/pdf/2505.17612","downloaded","1117890","32F50380DF5C2F008D635AE867D70CBCF9EE10BBDFCA795DB611A30A5C6AEDD7"
"P28","P28_r2v_agent_2026.pdf","https://arxiv.org/pdf/2605.16604","downloaded","2051693","55365ED0350DB02A4EF0E29A58F6E0A64DE6C22581F02AB8AF9413DC4DCBB909"
